amenity,lon,contact:website,indoor,app:apk,operator,room,owner,brand:wikipedia,addr:housenumber,opening_hours,contact:phone,wikipedia,brand:wikidata,branch,addr:street,image,app:google,brand,app:apple,phone,ownership,lat,addr:city,building,website:stock,name,roof:shape,addr:postcode,wheelchair,level,dispensing,healthcare,source:owner,toilets:wheelchair,addr:country
pharmacy,14.6198705,http://www.apotekhjartat.se/hitta-apotek-hjartat/dalarna/apotek_hjartat_centralgatan_2_orsa/,,,Apotek Hjärtat Retail AB,,ICA Gruppen AB,,2,Mo-Fr 09:30-18:00; Sa 10:00-14:00,,,,,Centralgatan,http://www.apotekhjartat.se/Thumbinator.ashx?src=%2fPageFiles%2f2706%2fDSC00020.jpg&mode=Proportional&w=292&uid=6A-A5-05-52-BC-30-39-ED-46-0A-CC-7E-59-47-0E-8D,https://play.google.com/store/apps/details?id=com.presencekit.apotek.se&hl=en_US,Apotek Hjärtat Orsa,https://itunes.apple.com/se/app/apotek-hj%C3%A4rtat-n%C3%A4ra-dig/id1150817089,+46771405405,private,61.1190783,Orsa,yes,https://www.fass.se/,Apotek Hjärtat,hipped,79430,yes,,yes,,,,SE
pharmacy,11.9694340,,,,Apotek Hjärtat Retail AB,,,sv:Apotek Hjärtat,,Mo-Fr 07:00-22:00; Sa-Su 08:00-22:00,+46771405405,,Q10416114,Göteborg,,,,Apotek Hjärtat,,,,57.7078627,,,,Apotek Hjärtat,,,,,yes,pharmacy,,,
pharmacy,15.5856177,,room,,Apotek Hjärtat Retail AB,shop,ICA Gruppen AB,,,,,,,,,http://www.apotekhjartat.se/Thumbinator.ashx?src=%2fPageFiles%2f2706%2fDSC00020.jpg&mode=Proportional&w=292&uid=6A-A5-05-52-BC-30-39-ED-46-0A-CC-7E-59-47-0E-8D,https://play.google.com/store/apps/details?id=com.presencekit.apotek.se&hl=en_US,Apotek Hjärtat,https://itunes.apple.com/se/app/apotek-hj%C3%A4rtat-n%C3%A4ra-dig/id1150817089,+46771405405,private,58.4339717,,,https://www.fass.se/,Apotek Hjärtat,,,,0,yes,,,,
pharmacy,15.8103400,,,,Apotek Hjärtat Retail AB,,ICA Gruppen AB,,,,,,,,,http://www.apotekhjartat.se/Thumbinator.ashx?src=%2fPageFiles%2f2706%2fDSC00020.jpg&mode=Proportional&w=292&uid=6A-A5-05-52-BC-30-39-ED-46-0A-CC-7E-59-47-0E-8D,https://play.google.com/store/apps/details?id=com.presencekit.apotek.se&hl=en_US,Apotek Hjärtat,https://itunes.apple.com/se/app/apotek-hj%C3%A4rtat-n%C3%A4ra-dig/id1150817089,+46771405405,private,61.3799888,,yes,https://www.fass.se/,Apotek Hjärtat,,,yes,,yes,pharmacy,,,
pharmacy,14.8876258,,,se.apoteket.recept,Apoteket AB (556138-6532),,Svenska Staten,,7,,,,,Apoteket Örnen,Rådhustorget,,,Apoteket,https://itunes.apple.com/se/app/mitt-apotek/id1053398061,+46771450450,national,58.4474759,Vadstena,yes,https://www.fass.se/,Apoteket,,592 30,,,,,,,SE
pharmacy,13.0458388,,,,Kronans Droghandel Apotek AB,,,,,,,,,,,,https://play.google.com/store/apps/details?id=se.kronansapotek.kronan,Kronans Apotek Likenäs,https://itunes.apple.com/se/app/kronans-apotek/id1129771604?l=en,+46771612612,,60.6121368,,yes,https://www.fass.se/,Kronans Apotek,,,,,yes,,,,
pharmacy,20.5498346,,,,Kronans Droghandel Apotek AB,,,,,,,,,,,,https://play.google.com/store/apps/details?id=se.kronansapotek.kronan,Kronans Apotek,https://itunes.apple.com/se/app/kronans-apotek/id1129771604?l=en,+46771612612,,63.9012273,,yes,https://www.fass.se/,Kronans Apotek,,,,,yes,,,,
pharmacy,17.3374243,,room,,Kronans Droghandel Apotek AB,,,,,,,,,,,,https://play.google.com/store/apps/details?id=se.kronansapotek.kronan,Kronans Apotek,https://itunes.apple.com/se/app/kronans-apotek/id1129771604?l=en,+46771612612,,62.4466955,,,https://www.fass.se/,Kronans Apotek,,,,0,yes,,,,
pharmacy,14.1737864,,,,,,Vårdapoteket i Norden AB,,5,,,sv:Vårdapoteket i Norden,,,J A Hedlunds väg,,,,,,private,56.0295958,Kristianstad,yes,https://www.fass.se/,Vårdapoteket,,29133,yes,,,,wikipedia,no,SE
