building,name:el,amenity,name:en,name,lon,lat
yes,Εργαστήριο Αντισεισμικής Τεχνολογίας,laboratory,Earthquake Engineering Laboratory,Εργαστήριο Αντισεισμικής Τεχνολογίας,23.7745727,37.9797265
yes,Εργαστήριο Ηχοτεχνίας,laboratory,laboratory of sound technics,Εργαστήριο Ηχοτεχνίας,23.7742827,37.9796371
yes,Εργαστήριο Λιμενικών Έργων,laboratory,Laboratory of Port Projects,Εργαστήριο Λιμενικών Έργων,23.7765689,37.9775728
yes,Εργαστήριο Πυρηνικής Τεχνολογίας,laboratory,Laboratory of Nuclear Technology,Εργαστήριο Πυρηνικής Τεχνολογίας,23.7846900,37.9783421
yes,Εργαστήριο Υδραυλικής,laboratory,laboratory of applied hydraulics,Εργαστήριο Υδραυλικής,23.7754332,37.9781390
